id_goal,goal_minute,penalty?,own_goal?,id_match,player_name
goal844,49,FALSE,FALSE,match326,Gonçalo Guedes
goal845,35,TRUE,FALSE,match327,Jaime Mata
goal846,50,TRUE,FALSE,match327,Jorge Molina Vidal
goal847,53,FALSE,FALSE,match327,Jorge Molina Vidal
goal848,62,FALSE,FALSE,match328,Rúben Vezo
goal849,72,FALSE,FALSE,match328,Rubén Rochina
goal850,16,FALSE,FALSE,match328,Borja Iglesias
goal851,65,FALSE,FALSE,match328,Marc Roca
goal852,47,FALSE,FALSE,match329,Karim Benzema
goal853,76,FALSE,FALSE,match329,Karim Benzema
goal854,90,FALSE,FALSE,match329,Karim Benzema
goal855,64,FALSE,FALSE,match330,Carlos Bacca
goal856,80,FALSE,FALSE,match330,Karl Toko Ekambi
goal857,87,TRUE,FALSE,match330,Nabil El Zhar
goal858,54,FALSE,FALSE,match331,Carles Aleñá
goal859,60,TRUE,FALSE,match331,Luis Suárez
goal860,54,FALSE,FALSE,match332,Enric Gallego
goal861,57,FALSE,FALSE,match332,Ezequiel Chimy Ávila
goal862,67,FALSE,FALSE,match333,Míchel Herrero
goal863,9,FALSE,FALSE,match334,Álvaro Morata
goal864,49,FALSE,FALSE,match334,Antoine Griezmann
goal865,81,FALSE,FALSE,match334,Ángel Correa
goal866,36,FALSE,FALSE,match334,Kevin Gameiro
goal867,77,TRUE,FALSE,match334,Daniel Parejo
goal868,33,FALSE,FALSE,match335,Wu Lei
goal869,72,FALSE,FALSE,match335,Maxi Gómez
goal870,43,FALSE,TRUE,match336,Youssef En-Nesyri
goal871,9,FALSE,FALSE,match337,José Campaña
goal872,32,FALSE,FALSE,match337,José Campaña
goal873,56,TRUE,FALSE,match337,José Luis Morales Nogales
goal874,81,FALSE,FALSE,match337,Koke Andújar
goal875,55,FALSE,FALSE,match339,Quincy Promes
goal876,57,FALSE,FALSE,match339,Munir El Haddadi
goal877,62,FALSE,FALSE,match339,Munir El Haddadi
goal878,69,FALSE,FALSE,match339,Wissam Ben Yedder
goal879,86,FALSE,FALSE,match339,Bryan Gil
goal880,85,FALSE,FALSE,match340,Gerard Moreno
goal881,41,FALSE,FALSE,match341,Beñat Etxebarria
goal882,45,FALSE,FALSE,match341,Borja Bastón
goal883,66,FALSE,TRUE,match342,Joaquín Fernández Moreno
goal884,62,FALSE,FALSE,match343,Lionel Messi
